2017-04-27 11:11:32.4132 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:17:39.7359 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:18:49.7622 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:18:51.3693 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:20:50.9833 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:20:51.9545 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:21:35.9750 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:21:38.7212 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:22:58.7878 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:23:01.6969 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:24:49.2450 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:24:54.0092 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:25:39.7524 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:25:42.2265 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:29:55.2500 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:29:58.5212 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:36:09.1614 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:36:39.7701 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:40:12.2913 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:40:15.0884 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:41:29.5107 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:41:31.4268 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:43:20.1900 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 11:44:08.0158 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 11:44:33.1942 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:505 

2017-04-27 11:51:28.2179 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 13:08:27.6911 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 13:08:48.5373 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:505 

2017-04-27 13:09:10.9956 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:505 

2017-04-27 14:41:46.1835 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 14:43:38.6450 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 14:43:53.5018 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:505 

2017-04-27 14:44:05.8165 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:505 

2017-04-27 14:47:27.1731 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-27 14:47:29.7972 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-27 14:47:40.6478 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:505 

2017-04-27 14:47:52.2925 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:505 

2017-04-27 14:48:12.2796 | INFO | HarnessControl.atopLog | PollControl Loop:1 

2017-04-27 14:48:25.3224 | INFO | HarnessControl.atopLog | PollControl Loop:2 

2017-04-27 14:48:25.3314 | INFO | HarnessControl.atopLog | PollControl Loop:3 

2017-04-27 14:48:25.3314 | INFO | HarnessControl.atopLog | PollControl Loop:4 

2017-04-27 14:48:25.3494 | INFO | HarnessControl.atopLog | PollControl Loop:5 

2017-04-27 14:48:25.3674 | INFO | HarnessControl.atopLog | PollControl Loop:6 

2017-04-27 14:48:25.3844 | INFO | HarnessControl.atopLog | PollControl Loop:7 

2017-04-27 14:48:25.4084 | INFO | HarnessControl.atopLog | PollControl Loop:8 

2017-04-27 14:48:25.4184 | INFO | HarnessControl.atopLog | PollControl Loop:9 

2017-04-27 14:48:25.4274 | INFO | HarnessControl.atopLog | PollControl Loop:10 

2017-04-27 14:48:25.4274 | INFO | HarnessControl.atopLog | PollControl Loop:11 

2017-04-27 14:48:25.4434 | INFO | HarnessControl.atopLog | PollControl Loop:12 

2017-04-27 14:48:25.4434 | INFO | HarnessControl.atopLog | PollControl Loop:13 

2017-04-27 14:48:25.4564 | INFO | HarnessControl.atopLog | PollControl Loop:14 

2017-04-27 14:48:25.4564 | INFO | HarnessControl.atopLog | PollControl Loop:15 

2017-04-27 14:48:25.4564 | INFO | HarnessControl.atopLog | PollControl Loop:16 

2017-04-27 14:48:25.4764 | INFO | HarnessControl.atopLog | PollControl Loop:17 

2017-04-27 14:48:25.4954 | INFO | HarnessControl.atopLog | PollControl Loop:18 

2017-04-27 14:48:25.5044 | INFO | HarnessControl.atopLog | PollControl Loop:19 

2017-04-27 14:48:25.5044 | INFO | HarnessControl.atopLog | PollControl Loop:20 

2017-04-27 14:48:25.5284 | INFO | HarnessControl.atopLog | PollControl Loop:21 

2017-04-27 14:48:25.5444 | INFO | HarnessControl.atopLog | PollControl Loop:22 

2017-04-27 14:48:25.5654 | INFO | HarnessControl.atopLog | PollControl Loop:23 

2017-04-27 14:48:25.6044 | INFO | HarnessControl.atopLog | PollControl Loop:24 

2017-04-27 14:48:25.6234 | INFO | HarnessControl.atopLog | PollControl Loop:25 

2017-04-27 14:48:25.6394 | INFO | HarnessControl.atopLog | PollControl Loop:26 

2017-04-27 14:48:25.6494 | INFO | HarnessControl.atopLog | PollControl Loop:27 

2017-04-27 14:48:25.6594 | INFO | HarnessControl.atopLog | PollControl Loop:28 

2017-04-27 14:48:25.6594 | INFO | HarnessControl.atopLog | PollControl Loop:29 

2017-04-27 14:48:25.6754 | INFO | HarnessControl.atopLog | PollControl Loop:30 

2017-04-27 14:48:25.7004 | INFO | HarnessControl.atopLog | PollControl Loop:31 

2017-04-27 14:48:25.7074 | INFO | HarnessControl.atopLog | PollControl Loop:32 

2017-04-27 14:48:25.7074 | INFO | HarnessControl.atopLog | PollControl Loop:33 

2017-04-27 14:48:25.7074 | INFO | HarnessControl.atopLog | PollControl Loop:34 

2017-04-27 14:48:25.7274 | INFO | HarnessControl.atopLog | PollControl Loop:35 

2017-04-27 14:48:25.7274 | INFO | HarnessControl.atopLog | PollControl Loop:36 

2017-04-27 14:48:25.7464 | INFO | HarnessControl.atopLog | PollControl Loop:37 

