2017-05-03 11:01:14.3602 | INFO | HarnessControl.atopLog | PollControl Loop:55 

2017-05-03 11:01:14.3742 | INFO | HarnessControl.atopLog | PollControl Loop:56 

2017-05-03 11:01:14.3742 | INFO | HarnessControl.atopLog | PollControl Loop:57 

2017-05-03 11:01:14.3742 | INFO | HarnessControl.atopLog | PollControl Loop:58 

2017-05-03 11:01:14.3902 | INFO | HarnessControl.atopLog | PollControl Loop:59 

2017-05-03 11:01:14.3902 | INFO | HarnessControl.atopLog | PollControl Loop:60 

2017-05-03 11:01:14.3902 | INFO | HarnessControl.atopLog | PollControl Loop:61 

2017-05-03 11:01:14.4062 | INFO | HarnessControl.atopLog | PollControl Loop:62 

2017-05-03 11:01:14.4062 | INFO | HarnessControl.atopLog | PollControl Loop:63 

2017-05-03 11:01:14.4202 | INFO | HarnessControl.atopLog | PollControl Loop:64 

2017-05-03 11:01:14.4202 | INFO | HarnessControl.atopLog | PollControl Loop:65 

2017-05-03 11:01:14.4202 | INFO | HarnessControl.atopLog | PollControl Loop:66 

2017-05-03 11:01:14.4362 | INFO | HarnessControl.atopLog | PollControl Loop:67 

2017-05-03 11:01:14.4362 | INFO | HarnessControl.atopLog | PollControl Loop:68 

2017-05-03 11:01:14.4362 | INFO | HarnessControl.atopLog | PollControl Loop:69 

2017-05-03 11:01:14.4362 | INFO | HarnessControl.atopLog | PollControl Loop:70 

2017-05-03 11:01:14.4532 | INFO | HarnessControl.atopLog | PollControl Loop:71 

2017-05-03 11:01:14.4532 | INFO | HarnessControl.atopLog | PollControl Loop:72 

2017-05-03 11:01:14.4532 | INFO | HarnessControl.atopLog | PollControl Loop:73 

2017-05-03 11:01:14.4532 | INFO | HarnessControl.atopLog | PollControl Loop:74 

2017-05-03 11:01:14.4692 | INFO | HarnessControl.atopLog | PollControl Loop:75 

2017-05-03 11:01:14.4692 | INFO | HarnessControl.atopLog | PollControl Loop:76 

2017-05-03 11:01:14.4692 | INFO | HarnessControl.atopLog | PollControl Loop:77 

2017-05-03 11:01:14.4692 | INFO | HarnessControl.atopLog | PollControl Loop:78 

2017-05-03 11:01:14.4832 | INFO | HarnessControl.atopLog | PollControl Loop:79 

2017-05-03 11:01:14.4832 | INFO | HarnessControl.atopLog | PollControl Loop:80 

2017-05-03 11:01:14.4832 | INFO | HarnessControl.atopLog | PollControl Loop:81 

